"Viral_contig"	"pvalue"	"R2"	"fdr"
"282"	"DC26_contig_298_pilon"	0.401	0.0188020349695364	0.997
"283"	"NCF168_tig00000002_pilon"	0.985	-0.182454330684501	0.997
"284"	"B13_utg00000002_pilon"	0.657	-0.045293135522819	0.997
"285"	"NCF168_contig_223_pilon"	0.668	-0.102097804194552	0.997
"286"	"NCF044_contig_836_pilon"	0.481	-0.00244950618589027	0.997
"287"	"SK54_contig_930_pilon"	0.624	-0.078894880825777	0.997
"288"	"S06_contig-120_31"	0.986	-0.154494568093881	0.997
"289"	"H62_contig-120_11"	0.444	0.0121887284901162	0.997
"290"	"SK14_NODE_24"	0.621	-0.0432813844154112	0.997
"291"	"NCF051_contig_99_pilon"	0.62	-0.0758234232934817	0.997
"292"	"NCF055_NODE_33"	0.622	-0.0777877459553087	0.997
"293"	"NCF055_contig_134_pilon"	0.591	-0.0777877459553087	0.997
"294"	"H16_contig_287_pilon"	0.825	-0.244793149066321	0.997
"295"	"NCF055_contig_145_pilon"	0.997	-0.199184265220639	0.997
"296"	"H09_contig-120_166"	0.545	-0.0534205479259757	0.997
"297"	"H34_contig-120_6"	0.239	0.0975738953011519	0.997
"298"	"SK44_NODE_11"	0.884	-0.07675172659959	0.997
"299"	"SK43_contig_607_pilon"	0.078	0.219335858134648	0.95973417721519
"300"	"B13_NODE_4"	0.219	0.111612817026425	0.993321428571429
"301"	"B13_contig_88_pilon"	0.238	0.111612817026425	0.997
"302"	"NCF055_contig_25_pilon"	0.812	-0.0818206467622264	0.997
"303"	"H34_contig_265_pilon"	0.341	0.0430839260798942	0.997
"304"	"S02_contig_811_pilon"	0.065	0.172112471541961	0.95973417721519
"305"	"DC23_NODE_12"	0.552	-0.0145101305450421	0.997
"306"	"H19_contig_329_pilon"	0.852	-0.0927809993961887	0.997
"307"	"DC23_NODE_18"	0.017	0.423729857829978	0.719666666666667
"308"	"NC308_contig_66_pilon"	0.557	-0.00890870806374748	0.997
"309"	"NC183_contig_160_pilon"	0.537	-0.00890870806374748	0.997
"310"	"NC183_contig-120_4"	0.537	-0.00890870806374748	0.997
"311"	"H60_contig-120_2"	0.187	0.271758813136914	0.95973417721519
"312"	"H32_contig-120_1"	0.526	-0.0537082581662162	0.997
"313"	"NC317_NODE_20"	0.685	-0.107680407348859	0.997
"314"	"H34_contig_381_pilon"	0.605	-0.0731883933055897	0.997
"315"	"NC173_NODE_10"	0.445	0.00490507610765604	0.997
"316"	"H46_contig_57_pilon"	0.562	-0.0313123044550377	0.997
"317"	"NC151_contig_869_pilon"	0.613	-0.0390182691189372	0.997
"318"	"NC317_contig_345_pilon"	0.493	-0.00796510715635555	0.997
"319"	"NCF168_contig-120_29"	0.323	0.0605565918879928	0.997
"320"	"A09_contig_666_pilon"	0.627	-0.0777986857972804	0.997
"321"	"H48_contig_119_pilon"	0.154	0.118943105663622	0.95973417721519
"322"	"H50_NODE_20"	0.19	0.181918051844282	0.95973417721519
"323"	"DC16_contig_249_pilon"	0.186	0.140960975372871	0.95973417721519
"324"	"NCF004_contig_274_pilon"	0.804	-0.0813778841567766	0.997
"325"	"H34_contig_119_pilon"	0.981	-0.203889052430124	0.997
"326"	"H46_opera_contig_36"	0.428	0.0110575780215085	0.997
"327"	"H19_contig_884_pilon"	0.812	-0.0983955372855149	0.997
"328"	"H12_opera_contig_8"	0.377	0.0221811648557287	0.997
"329"	"H49_contig-120_12"	0.996	-0.159531131874705	0.997
"330"	"A01_contig_49_pilon"	0.165	0.165488243736316	0.95973417721519
"331"	"NC151_contig-120_15"	0.895	-0.126121092829866	0.997
"332"	"NCF026_contig-120_0"	0.177	0.131558204050087	0.95973417721519
"333"	"NCF044_NODE_22"	0.441	0.00440886709492933	0.997
"334"	"S02_contig_677_pilon"	0.514	-0.0143962943518632	0.997
"335"	"H34_contig_122_pilon"	0.162	0.099780799038665	0.95973417721519
"336"	"H19_contig_680_pilon"	0.974	-0.375825770422761	0.997
"337"	"NCF051_NODE_35"	0.038	0.355043637199507	0.95973417721519
"338"	"NC183_contig_34_pilon"	0.193	0.108166185917354	0.95973417721519
"339"	"H31_contig_51_pilon"	0.073	0.231376866026552	0.95973417721519
"340"	"NCF044_contig_1154_pilon"	0.442	0.0504826790279024	0.997
"341"	"SK54_NODE_117"	0.667	-0.0388917277048017	0.997
"342"	"A09_NODE_67"	0.536	-0.0415894762611059	0.997
"343"	"H34_NODE_11"	0.673	-0.062461583615573	0.997
"344"	"A09_contig_668_pilon"	0.889	-0.225086038992735	0.997
"345"	"H65_contig_16_pilon"	0.699	-0.0661387724533279	0.997
"346"	"NC150_NODE_8"	0.094	0.194108512755496	0.95973417721519
"347"	"H50_NODE_13"	0.194	0.155692949608003	0.95973417721519
"348"	"H01_contig_1169_pilon"	0.321	0.0476361211321532	0.997
"349"	"NC151_contig_442_pilon"	0.215	0.0962881136035441	0.991518072289157
"350"	"SK55_contig-120_2"	0.259	0.108665900167101	0.997
"351"	"SK20_contig_1323_pilon"	0.449	0.0211593654998324	0.997
"352"	"NC152_opera_contig_1"	0.933	-0.145088848790921	0.997
"353"	"QM01_contig_579"	0.464	0.00627032969209502	0.997
"354"	"SK54_contig_111_pilon"	0.83	-0.114582376398518	0.997
"355"	"H31_contig_122_pilon"	0.178	0.0884675756963469	0.95973417721519
"356"	"NCF033_contig-120_1"	0.511	-0.111187079502436	0.997
"357"	"A13_NODE_3"	0.69	-0.0524597027397676	0.997
"358"	"SK44_NODE_14"	0.82	-0.0845912556645206	0.997
"359"	"SK02_contig_120_pilon"	0.099	0.219278267868461	0.95973417721519
"360"	"SK54_contig_97_pilon"	0.809	-0.122711905705057	0.997
"361"	"H34_contig_660_pilon"	0.574	-0.0335431589627932	0.997
"362"	"NCF026_contig_263_pilon"	0.566	-0.028252366706476	0.997
"363"	"NCF106_contig_165_pilon"	0.791	-0.10642368224689	0.997
"364"	"DC05_contig_2_pilon"	0.659	-0.0863343702772695	0.997
"365"	"NCF026_contig_242_pilon"	0.809	-0.108012344973464	0.997
"366"	"H02_contig-120_9"	0.595	-0.0851898875763462	0.997
"367"	"NC323_contig-120_70"	0.792	-0.111223306362038	0.997
"368"	"B03_contig-120_6"	0.183	0.0726298258329928	0.95973417721519
"369"	"A13_contig_200_pilon"	0.654	-0.0770764417354773	0.997
"370"	"S05_contig-120_6"	0.593	-0.0664411024067426	0.997
"371"	"B03_contig_14_pilon"	0.694	-0.110797384994749	0.997
"372"	"NCF026_NODE_1"	0.952	-0.153406206820913	0.997
"373"	"S05_NODE_13"	0.995	-0.178544176426888	0.997
"376"	"B03_contig_58_pilon"	0.313	0.0426867740928593	0.997
"377"	"SK55_contig-120_0"	0.471	-0.0564218177370674	0.997
"378"	"DC23_NODE_21"	0.138	0.194826543498547	0.95973417721519
"379"	"QM01_contig_249"	0.897	-0.133425542469021	0.997
"380"	"S06_contig-120_17"	0.954	-0.236492055216611	0.997
"381"	"DC23_NODE_59"	0.141	0.137815238732257	0.95973417721519
"382"	"NC185_contig_245_pilon"	0.477	-0.00223249883240342	0.997
"383"	"H23_contig_245_pilon"	0.693	-0.069676392061276	0.997
