	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_contig_49_pilon	28.414147534460543							1.4899178801089004		31.870120577199412				11.927840357357264			167.0956353260771											2.0251533074316304		39.57363539869663		19.010979371322986		27.060954683781084								4.599170147123206						0.1808613569597698											182.55413933059745					0.1694848263600187								3.6521490967480807														15.43084927302984	0.0991999037191384				
A01_contig_54_pilon	8.018420250161066	0.0006179180051764						0.5556838259263388	0.0011834997682568	0.0019205254792261				0.0006639230421568			0.0048049672796592	0.0018101704300875			0.0635797759529244					0.0006329976406843				0.0		0.0032018555739222				0.0025022186545261	0.0006537324692832									0.004303201971258	0.0024951282632434										0.0012421669451575			0.0025510966305214	0.0063726802468375				0.0		0.0018348683304039		0.0	0.0140836780177792			0.0								0.0					0.0	0.0012382480444467				
A01_contig_57_pilon	9.531662185628475	0.1095414834284125						1.055315747980231															0.2659449495478243									0.2611889691241854																			15.313401448081244											0.2018827420343595		0.0074577209903174	0.0402253609781643							0.0869256853159255			0.051520168027901			22.31762596320956							0.1252969988257009		0.083602654866657				
A01_contig_89_pilon	25.695237996439904							2.688072902909889																																										1.8732551912482536																																									
A01_contig_93_pilon	159.16616443478907							18.74450305078319																													0.0357607869892382																																		3.892451086542644																		0.596232902887633		
A01_contig_96_pilon	11.864492058779554							1.24078047375584																																										0.0228049066972626							0.004968561254393																														0.0188209667529871		0.0627035794150884		
A01_NODE_2	4.422149687507345					2.4301211890667163		0.6337105834793608	0.0177946851022163	0.1416779412344591											1.869554156547205					0.0414921500796389		0.2331853622429806		0.1429867117542091				0.0186607106559581			0.1395980182306582																						0.0083002469904215	0.2721650704175549									0.1531434472568525																						
A01_NODE_4	19.723653467746388							12.758914053185064																																																																																	0.303683192406857		
A01_NODE_5	2.824908000769291							0.5278004259209209																			0.0355946042939896			0.0094643843843918		0.4547249217066171				0.0112069771115945																									0.0186820773877386														0.1524493398519386																
A01_NODE_6	5.63829129478789	2.3182870301033565	0.0232001580212174		1.6404100396139691		0.2004361514352815	0.3788709356999598			0.0091524582159345			0.0300576357486179	0.0099829276471288	88.96233484626264	0.2304826458358555					0.3639241119221876	2.909349545094923											3.4552982980643985					0.0631786635062066		0.0033325457621506					11.122915363197908	9.482217972031606							0.0891935925962352			4.921721116769861		0.0042402487596193				0.022316300289097	0.0017556469401889		0.0877654241390334	0.0217929436545204	0.0121762079659322								0.2602074817023107		0.0443008404811731				0.0148268406943748			1.299920137196166						
A01_NODE_8	0.4873770632825557	0.0262166588825261						0.6960345326952249	0.0	0.0198048755950074	0.0170283288341716			0.0			0.0				0.0612369192449667					0.0212613552367685				0.0				0.0				0.0													0.0				0.0		0.0		0.0351251287908293	0.0	0.0005632839591956		0.0045355089365566				0.0					0.0340429093719394		0.0	0.0				0.0032261830246974	0.0	0.0								0.0078220981967162		
A01_NODE_12	0.0							0.0														0.0																																																		0.0							0.0			0.0							0.0		
A01_NODE_13	0.0093398594458817	0.0						0.0	0.0	0.0				0.0			0.0	0.0			0.0					0.0				0.0		0.0				0.0	0.0									0.0	0.0										0.0			0.0	0.0				0.0		0.0		0.0	0.0	0.0		0.0								0.0					0.0	0.0				
